"Year","Commodity","Acreage %"
1980,"corn",830000
1980,"soybean",620000
1980,"soy.per",42.7586206896552
1980,"corn.per",57.2413793103448
1981,"corn",820000
1981,"soybean",645000
1981,"soy.per",44.0273037542662
1981,"corn.per",55.9726962457338
1982,"corn",835000
1982,"soybean",680000
1982,"soy.per",44.8844884488449
1982,"corn.per",55.1155115511551
1983,"corn",610000
1983,"soybean",650000
1983,"soy.per",51.5873015873016
1983,"corn.per",48.4126984126984
1984,"corn",750000
1984,"soybean",750000
1984,"soy.per",50
1984,"corn.per",50
1985,"corn",740000
1985,"soybean",720000
1985,"soy.per",49.3150684931507
1985,"corn.per",50.6849315068493
1986,"corn",730000
1986,"soybean",610000
1986,"soy.per",45.5223880597015
1986,"corn.per",54.4776119402985
1987,"corn",575000
1987,"soybean",520000
1987,"soy.per",47.4885844748858
1987,"corn.per",52.5114155251142
1988,"corn",530000
1988,"soybean",530000
1988,"soy.per",50
1988,"corn.per",50
1989,"corn",510000
1989,"soybean",550000
1989,"soy.per",51.8867924528302
1989,"corn.per",48.1132075471698
1990,"corn",530000
1990,"soybean",540000
1990,"soy.per",50.4672897196262
1990,"corn.per",49.5327102803738
1991,"corn",500000
1991,"soybean",530000
1991,"soy.per",51.4563106796116
1991,"corn.per",48.5436893203884
1992,"corn",520000
1992,"soybean",520000
1992,"soy.per",50
1992,"corn.per",50
1993,"corn",490000
1993,"soybean",520000
1993,"soy.per",51.4851485148515
1993,"corn.per",48.5148514851485
1994,"corn",500000
1994,"soybean",540000
1994,"soy.per",51.9230769230769
1994,"corn.per",48.0769230769231
1995,"corn",430000
1995,"soybean",490000
1995,"soy.per",53.2608695652174
1995,"corn.per",46.7391304347826
1996,"corn",450000
1996,"soybean",500000
1996,"soy.per",52.6315789473684
1996,"corn.per",47.3684210526316
1997,"corn",490000
1997,"soybean",510000
1997,"soy.per",51
1997,"corn.per",49
1998,"corn",500000
1998,"soybean",500000
1998,"soy.per",50
1998,"corn.per",50
1999,"corn",500000
1999,"soybean",470000
1999,"soy.per",48.4536082474227
1999,"corn.per",51.5463917525773
2000,"corn",470000
2000,"soybean",490000
2000,"soy.per",51.0416666666667
2000,"corn.per",48.9583333333333
2001,"corn",470000
2001,"soybean",500000
2001,"soy.per",51.5463917525773
2001,"corn.per",48.4536082474227
2002,"corn",500000
2002,"soybean",490000
2002,"soy.per",49.4949494949495
2002,"corn.per",50.5050505050505
2003,"corn",470000
2003,"soybean",500000
2003,"soy.per",51.5463917525773
2003,"corn.per",48.4536082474227
2004,"corn",500000
2004,"soybean",540000
2004,"soy.per",51.9230769230769
2004,"corn.per",48.0769230769231
2005,"corn",490000
2005,"soybean",530000
2005,"soy.per",51.9607843137255
2005,"corn.per",48.0392156862745
2006,"corn",480000
2006,"soybean",520000
2006,"soy.per",52
2006,"corn.per",48
2007,"corn",540000
2007,"soybean",510000
2007,"soy.per",48.5714285714286
2007,"corn.per",51.4285714285714
2008,"corn",470000
2008,"soybean",580000
2008,"soy.per",55.2380952380952
2008,"corn.per",44.7619047619048
2009,"corn",480000
2009,"soybean",580000
2009,"soy.per",54.7169811320755
2009,"corn.per",45.2830188679245
2010,"corn",490000
2010,"soybean",560000
2010,"soy.per",53.3333333333333
2010,"corn.per",46.6666666666667
2011,"corn",490000
2011,"soybean",560000
2011,"soy.per",53.3333333333333
2011,"corn.per",46.6666666666667
2012,"corn",510000
2012,"soybean",590000
2012,"soy.per",53.6363636363636
2012,"corn.per",46.3636363636364
2013,"corn",510000
2013,"soybean",610000
2013,"soy.per",54.4642857142857
2013,"corn.per",45.5357142857143
2014,"corn",500000
2014,"soybean",650000
2014,"soy.per",56.5217391304348
2014,"corn.per",43.4782608695652
2015,"corn",450000
2015,"soybean",630000
2015,"soy.per",58.3333333333333
2015,"corn.per",41.6666666666667
2016,"corn",490000
2016,"soybean",610000
2016,"soy.per",55.4545454545455
2016,"corn.per",44.5454545454545
2017,"corn",500000
2017,"soybean",600000
2017,"soy.per",54.5454545454545
2017,"corn.per",45.4545454545455
2018,"corn",485000
2018,"soybean",600000
2018,"soy.per",55.2995391705069
2018,"corn.per",44.7004608294931
2019,"corn",540000
2019,"soybean",570000
2019,"soy.per",51.3513513513513
2019,"corn.per",48.6486486486487
2020,"corn",540000
2020,"soybean",570000
2020,"soy.per",51.3513513513513
2020,"corn.per",48.6486486486487
2021,"corn",490000
2021,"soybean",600000
2021,"soy.per",55.045871559633
2021,"corn.per",44.954128440367
2022,"corn",430000
2022,"soybean",620000
2022,"soy.per",59.0476190476191
2022,"corn.per",40.9523809523809
2023,"corn",495000
2023,"soybean",580000
2023,"soy.per",53.953488372093
2023,"corn.per",46.046511627907
2024,"corn",460000
2024,"soybean",610000
2024,"soy.per",57.0093457943925
2024,"corn.per",42.9906542056075
