"Year","Exports","Domestic"
2000,973,1743.24914735932
2001,995.8711884534,1807.92163686853
2002,1063.6514467383,1869.03632762916
2003,1044.3721008357,1746.16787741296
2004,886.5505605957,1638.77099291641
2005,1097.1562998144,1888.88726465475
2006,939.8787500529,1938.24725853837
2007,1116.4958686413,1964.77988250887
2008,1158.829057029,1896.93474588398
2009,1279.2935714286,1767.81255820269
2010,1499.0481245103,1863.78398231835
2011,1504.9776390978,1776.64945738503
2012,1365.25098149781,1793.70302020677
2013,1327.526,1783.84734182586
2014,1638.55893976918,1838.78810639961
2015,1842.42269259289,2020.27316900657
2016,1942.6386441856,2001.56226532773
2017,2166.55106590683,2047.35964136346
2018,2133.73085929166,2163.20281325074
2019,1753.42996293744,2201.83043165295
2020,1682.87501841865,2270.08660477416
2021,2265.76169729528,2251.91744535112
2022,2152.11396701611,2310.87819374211
2023,1991.8160856546,2313.28702935257
2024,1720,2423.5
