Date22,Weeklyexports2022.23,Accumexports2022.23,percent22,Date23,Weeklyexports2023.24,Accumexports2023.24,percent23,Date.24,Weeklyexports2024.25,Accumexports2024.25,percent24,count,conversion 
09/01/2022,46592,46592,0.000864709,09/07/2023,408378,408378,0.008853525,09/05/2024,314247,314247,0.006327496,1,27213
09/08/2022,375918,422510,0.007841432,09/14/2023,488549,896927,0.019445135,09/12/2024,446205,760452,0.015312021,2,
09/15/2022,522535,945045,0.017539244,09/21/2023,492094,1389021,0.030113601,09/19/2024,381045,1141497,0.022984522,3,
09/22/2022,269208,1214253,0.022535519,09/28/2023,671463,2060484,0.044670737,09/26/2024,724648,1866145,0.037575615,4,
09/29/2022,574130,1788383,0.033190892,10/05/2023,1351103,3411587,0.073962286,10/03/2024,1570543,3436688,0.069199159,5,
10/06/2022,887954,2676337,0.049670575,10/12/2023,1990481,5402068,0.117115377,10/10/2024,1852697,5289385,0.106503993,6,
10/13/2022,1813956,4490293,0.08333608,10/19/2023,2361294,7763362,0.168307595,10/17/2024,2382243,7671628,0.154471458,7,
10/20/2022,2748615,7238908,0.134348074,10/26/2023,1991366,9754728,0.211479872,10/24/2024,2236907,9908535,0.199512521,8,
10/27/2022,2582254,9821162,0.182272547,11/02/2023,2236528,11991256,0.259967196,10/31/2024,2424179,12332714,0.248324386,9,
11/03/2022,2612700,12433862,0.230762073,11/09/2023,1926189,13917445,0.301726454,11/07/2024,2341413,14674127,0.295469722,10,
11/10/2022,2012048,14445910,0.268104,11/16/2023,1592337,15509782,0.336247891,11/14/2024,2372847,17046974,0.343247994,11,
11/17/2022,2352673,16798583,0.311767642,11/23/2023,1477736,16987518,0.368284809,11/21/2024,2012158,19059132,0.383763642,12,
11/24/2022,2046570,18845153,0.349750268,11/30/2023,1222129,18209647,0.394780236,11/28/2024,2428905,21488037,0.432670667,13,
12/01/2022,2247641,21092794,0.391464604,12/07/2023,1074729,19284376,0.418080071,12/05/2024,1859119,23347156,0.47010481,14,
12/08/2022,1777630,22870424,0.424455929,12/14/2023,1329059,20613435,0.446893712,12/12/2024,1686317,25033473,0.504059512,15,
12/15/2022,1918361,24788785,0.460059104,12/21/2023,1081669,21695104,0.470344004,12/19/2024,1573186,26606659,0.535736274,16,
12/22/2022,1705947,26494732,0.491720052,12/28/2023,1000620,22695724,0.492037176,12/26/2024,1704121,28310780,0.570049468,17,
12/29/2022,1478296,27973028,0.519155989,01/04/2024,862277,23558001,0.510731109,01/02/2025,1441107,29751887,0.599066764,18,
01/05/2023,1620720,29593748,0.549235195,01/11/2024,1670720,25228721,0.546951868,01/09/2025,1407966,31159853,0.627416751,19,
01/12/2023,2066189,31659937,0.587581934,01/18/2024,1117528,26346249,0.571179574,01/16/2025,1034583,32194436,0.648248515,20,
01/19/2023,1900328,33560265,0.622850431,01/25/2024,949899,27296148,0.591773128,01/23/2025,679633,32874069,0.661933212,21,
01/26/2023,1891607,35451872,0.657957074,02/01/2024,1520302,28816450,0.624732865,01/30/2025,1135837,34009906,0.684803768,22,
02/02/2023,1743076,37194948,0.690307106,02/08/2024,1383688,30200138,0.654730848,02/06/2025,1032758,35042664,0.705598785,23,
02/09/2023,1846566,39041514,0.724577825,02/15/2024,1197121,31397259,0.680684108,02/13/2025,740986,35783650,0.72051885,24,
02/16/2023,1614468,40655982,0.754541,02/22/2024,958949,32356208,0.701473864,02/20/2025,971801,36755451,0.740086472,25,
02/23/2023,828577,41484559,0.769918696,02/29/2024,1418034,33774242,0.732216459,02/27/2025,732401,37487852,0.754833674,26,
03/02/2023,580955,42065514,0.780700735,03/07/2024,878856,34653098,0.75126982,03/06/2025,865080,38352932,0.772252424,27,
03/09/2023,763872,42829386,0.79487756,03/14/2024,773126,35426224,0.768030983,03/13/2025,592114,38945046,0.784174888,28,
