"Value","state_name","year"
18480000,"VIRGINIA",2000
17040000,"VIRGINIA",2001
10580000,"VIRGINIA",2002
16320000,"VIRGINIA",2003
20670000,"VIRGINIA",2004
15555000,"VIRGINIA",2005
15810000,"VIRGINIA",2006
13750000,"VIRGINIA",2007
18240000,"VIRGINIA",2008
21090000,"VIRGINIA",2009
14040000,"VIRGINIA",2010
22000000,"VIRGINIA",2011
24360000,"VIRGINIA",2012
23100000,"VIRGINIA",2013
25280000,"VIRGINIA",2014
21390000,"VIRGINIA",2015
21600000,"VIRGINIA",2016
25960000,"VIRGINIA",2017
24780000,"VIRGINIA",2018
19040000,"VIRGINIA",2019
23520000,"VIRGINIA",2020
27140000,"VIRGINIA",2021
25010000,"VIRGINIA",2022
21660000,"VIRGINIA",2023
26400000,"VIRGINIA",2024
2757810000,"US TOTAL",2000
2890682000,"US TOTAL",2001
2756147000,"US TOTAL",2002
2453845000,"US TOTAL",2003
3123790000,"US TOTAL",2004
3068342000,"US TOTAL",2005
3196726000,"US TOTAL",2006
2677117000,"US TOTAL",2007
2967007000,"US TOTAL",2008
3360931000,"US TOTAL",2009
3331306000,"US TOTAL",2010
3097179000,"US TOTAL",2011
3042044000,"US TOTAL",2012
3357004000,"US TOTAL",2013
3928070000,"US TOTAL",2014
3926779000,"US TOTAL",2015
4296496000,"US TOTAL",2016
4411633000,"US TOTAL",2017
4428150000,"US TOTAL",2018
3551070000,"US TOTAL",2019
4216302000,"US TOTAL",2020
4464492000,"US TOTAL",2021
4270381000,"US TOTAL",2022
4162057000,"US TOTAL",2023
4366492000,"US TOTAL",2024
