"year","NAME","Acres","Bushels"
2019,"Accomack",31300,1079000
2019,"Amelia",10500,263000
2019,"Brunswick",10600,228000
2019,"Caroline",20700,662000
2019,"Charlotte",9600,197000
2019,"Chesterfield",1450,31900
2019,"Culpeper",10700,481000
2019,"Dinwiddie",16100,451000
2019,"Essex",19400,747000
2019,"Fauquier",11000,407000
2019,"Franklin",7000,220000
2019,"Frederick",1380,60000
2019,"Gloucester",5800,232000
2019,"Greensville",8800,198000
2019,"Halifax",10900,218000
2019,"Isle Of Wight",13800,469000
2019,"King And Queen",15800,553000
2019,"King William",17100,718000
2019,"Louisa",5040,106000
2019,"Madison",6250,337000
2019,"Mecklenburg",18600,363000
2019,"Middlesex",6300,227000
2019,"New Kent",4800,156000
2019,"Northampton",19300,579000
2019,"Northumberland",15700,565000
2019,"Nottoway",3490,105000
2019,"Orange",6140,298000
2019,"Page",870,34800
2019,"Prince Edward",1190,27400
2019,"Prince George",10200,286000
2019,"Rockingham",8080,428000
2019,"Southampton",18200,646000
2019,"Spotsylvania",4180,157000
2019,"Surry",11800,407000
2019,"Westmoreland",17000,561000
2020,"Accomack",33300,1389000
2020,"Amelia",9440,408000
2020,"Appomattox",1970,81200
2020,"Augusta",5510,295000
2020,"Botetourt",1080,46400
2020,"Brunswick",11000,357000
2020,"Campbell",5060,214000
2020,"Caroline",19100,825000
2020,"Charlotte",6940,276000
2020,"Chesterfield",1360,44300
2020,"Culpeper",8770,480000
2020,"Dinwiddie",16400,613000
2020,"Essex",18100,860000
2020,"Fauquier",11600,562000
2020,"Franklin",6700,318000
2020,"Frederick",1180,71000
2020,"Gloucester",6010,224000
2020,"Greensville",9650,310000
2020,"Halifax",10500,439000
2020,"Isle Of Wight",15800,566000
2020,"King And Queen",16800,696000
2020,"King William",16700,790000
2020,"Lancaster",7200,345000
2020,"Loudoun",4640,204000
2020,"Louisa",5800,235000
2020,"Lunenburg",5630,208000
2020,"Madison",6210,338000
2020,"Mathews",1860,63800
2020,"Mecklenburg",17500,635000
2020,"Middlesex",6900,288000
2020,"New Kent",4230,158000
2020,"Northampton",20800,811000
2020,"Northumberland",15200,675000
2020,"Nottoway",2600,113000
2020,"Orange",5030,272000
2020,"Page",590,28000
2020,"Pittsylvania",5850,205000
2020,"Prince Edward",1110,43700
2020,"Prince George",8480,318000
2020,"Richmond",14500,676000
2020,"Rockingham",7500,414000
2020,"Shenandoah",3620,190000
2020,"Southampton",18700,680000
2020,"Spotsylvania",5130,256000
2020,"Surry",14300,503000
2020,"Sussex",19600,751000
2020,"Westmoreland",17100,814000
2021,"Accomack",32000,1303000
2021,"Amelia",10700,555000
2021,"Augusta",7090,305000
2021,"Botetourt",1250,64900
2021,"Brunswick",11600,472000
2021,"Campbell",5240,154000
2021,"Caroline",21700,1029000
2021,"Charlotte",8280,277000
2021,"Chesterfield",1270,48800
2021,"Culpeper",12100,681000
2021,"Dinwiddie",15000,701000
2021,"Essex",19200,1039000
2021,"Fauquier",11900,605000
2021,"Franklin",7880,341000
2021,"Frederick",1680,93100
2021,"Gloucester",5720,253000
2021,"Goochland",3900,195000
2021,"Greensville",10100,432000
2021,"Henrico",4340,203000
2021,"Isle Of Wight",15800,782000
2021,"King And Queen",15900,741000
2021,"King William",15900,841000
2021,"Loudoun",4040,182000
2021,"Louisa",4530,232000
2021,"Lunenburg",6300,265000
2021,"Madison",6110,302000
2021,"Mathews",1280,46700
2021,"Mecklenburg",19800,782000
2021,"Middlesex",6610,343000
2021,"New Kent",4830,208000
2021,"Northampton",22000,922000
2021,"Northumberland",15500,772000
2021,"Nottoway",3750,187000
2021,"Orange",7200,412000
2021,"Page",790,34400
